INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT
200882	Th¶i tam qu¯c, Tôn Quy«n l§p ra Ngô, xin höi thành ğô ğßşc ğ£t · ğâu?	Kiªn Nghi®p	LÕc Dß½ng	Thành Ğô	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200883	Th¶i tam qu¯c, v¸ tß¾ng nào ğßşc phong "Võ hß½ng h¥u"?	Gia Cát Lßşng	Quan Vû	Trß½ng Phi	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	4
200884	Th¶i tam qu¯c v¸ tß¾ng nào ğßşc phong"Hán Th÷ Ğình H¥u"?	Quan Vû	V® Thanh	Ho¡c KhÑ B®nh	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200885	Trong l¸ch sØ trung qu¯c ğßşc ngß¶i ğ¶i ca ngoÕi là "Vån Thánh" là ai?	Kh±ng Khßu	Lı BÕch	Âu Dß½ng Tu 	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	4
200886	Trong l¸ch sØ trung qu¯c ğßşc ngß¶i ğ¶i ca ngoÕi là "Võ Thánh" là ai?	Quan Vû	Lã B¯	NhÕc Phi	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	4
200887	Cu¯i T¥n, nß¾c Yªn có phái mµt v¸ dûng sî mßu sát T¥n ThuÖ Hoàng, ngß¶i này là ai?	Kinh Kha	Chuyên H¥u	Dñ Nhßşng	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	4
200888	Th¶i chiªn qu¯c, mµt v¸ dûng sî nhà Trí gia ğ¬ báo ½n tri ngµ cüa chü, s½n than ån than, ba l¥n thích sát Tri®u Giän, ngß¶i này là ai?	Dñ Nhßşng	Chuyên H¥u	Kinh Kha	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200889	Th¶i kÏ xuân thu, v¾i kª gi¤u dao bøng cá, thích sát Ngô Vß½ng Liêu là ai?	Chuyên H¥u	Dñ Nhßşng	Kinh Kha	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	4
200890	Nhà y h÷c n±i tiªng Bi¬n Thß¾c thuµc th¶i ğÕi nào?	Chiªn qu¯c	Hán	Tam qu¯c	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200891	Cu¯i Hán, nhà y h÷c n±i tiªng Hoa Ğà phát minh ra mµt loÕi th¬ døc dß½ng sinh có tên là gì?	Ngû c¥m k¸ch	Thái cñc bµ	Lång Ba Vi Bµ	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	4
200892	SØ sách có ghi "túng hoàng gia", trong ğó "túng hoành" có nghîa gì	Mßu kª cüa hşp túng và liên hoàng	Ngang d÷c ğích thiên bách, ğÕi di®n nông h÷c	Ngang d÷c sa trß¶ng, ğÕi di®n quân sñ	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200893	Trong tam qu¯c n±i danh v¾i mßu kª "hşp túng", và bái løc qu¯c chi tß½ng là ai?	Tô T¥n	Trß½ng Nghîa	Uı Liêu	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200894	Trong tam qu¯c dùng kª "ThuÖ tìm th¤t quân" là danh tß¾ng nào?	Quan Vû	Tri®u Vân	Khß½ng Duy	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200895	Trong tam qu¯c, danh tß¾ng quân? Thích sát danh tß¾ng HÕ H¥u Uyên cüa quân NguÜ Là ai?	Hoàng Trung	Tri®u Vân	Quan Vû	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200896	Trong tam qu¯c, liên quân Tôn Lßu ğánh bÕi quân Tào Tháo · Xích Bich. Liên quân ğã dùng kª gì ğ¬ dành th¡ng lşi?	Hoä kª	Lôi kª	Phong kª	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200897	Th¶i kÏ tam qu¯c, tÕi nß¾c Ngô có v¸ anh hùng thiªu niên, 13 tu±i quan bái thuÖ quân ğô ğ¯c, ngß¶i này là ai?	Châu Du	Løc Tôn	Hoàng Cái	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200898	Th¶i kÏ tam qu¯c, liên quân Tôn Lßu và quân Tào ğøng ğµ tÕi Xích Bích. Trong liên quân có mµt v¸ tß¾ng quân ğã dùng kh± nhøc kª ğë giành ğßşc sñ tin tß·ng cüa Tào Tháo, ông là ai?	Hoàng Cái	Trình ph±	Châu Thái	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200899	Th¶i kÏ tam qu¯c, v¾i lñc lßşng quân ğµi hùng h§u, v¸ tß¾ng nào ğã buµc Tào Tháo phäi "c¡t râu vÑt bào"?	Mã Siêu	Tri®u Vân	Khß½ng Duy	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200900	Th¶i kÏ tam qu¯c, danh tß¾ng Mã Siêu cüa quân Thøc Thu¯c nhóm ngß¶i ğan tµc thi¬u s¯ nào?	Khß½ng	Hung Nô	Ğ¸ch	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200901	Cu¯i ğ¶i Hán, lãnh tø cüa nghîa quân kh·i nghîa nông dân ğ« ra kh¦u hi®u "Thß½ng thiên dî tØ, Hoàng thiên ğß½ng l§p" là ai?	Trß½ng Giác	Tr¥n Th¡ng	T¯ng giang	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200902	Cu¯i ğ¶i Hán, Trß½ng Giác ğ« ra kh¦u hi®u "Thß½ng thiên dî tØ, Hoàng thiên ğß½ng l§p", th¯ng lînh nông dân kh·i nghîa, l§p nên quân nào?	Hoàng Cân Quân	Xích mi quân	Thanh hoa quân	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	3
200903	Th¶i kÏ tam qu¯c, quân cüa Tào tháo và quân cüa Viên Thi®u ğøng ğµ · ğâu, và ít th¡ng nhi«u, giành ğßşc tr§n th¡ng mang tính quyªt ğ¸nh	Quan ğµ	Xích Bích	Gò bác v÷ng	#	#	#	1	-1	-1	-1	-1	-1	Tung hoành bi¬n sØ	4
200904	Vª ğ¯i cüa "Nh¤t nguyên phÑc thuÖ" là gì?	VÕn tßşng canh tân	Bách tßşng canh tân	Thien tßşng canh tân	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200905	Vª ğ¯i cüa "Ti«n vào nhß nß¾c" là gì?	Nhân th÷ niên phong	Nhân th÷ niên túc	Nhân th÷ niên phúc	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200906	Vª ğ¯i cüa "Làm ån phát tài" là gì?	Ti«n tài nhß nß¾c	Cung chúc phát tài	VÕn sñ nhß ı	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200907	Vª ğ¯i cüa "TÑ häi sinh s¡c" là gì?	Ngû h° trình tß¶ng	Bát h° trình tß¶ng	Thiên h° trình tß¶ng	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200908	Vª ğ¯i câu "Gió xuân ğem ¤m" là gì?	M£t ğ¤t h°i xuân	M£t ğ¤t h°i bång	Bång tuyªt cong lÕnh	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200909	Vª ğ¯i câu "Mßa hoà gió thu§n" là gì?	Qu¯c thái dân an	Mßa qua lÕi n¡ng	M£t tr¶i cao chiªu	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200910	Vª ğ¯i cüa "Bách hoa t« phóng" là gì?	VÕn mµc tranh vinh	VÕn mµc tranh süng	VÕn thuÖ tranh vinh	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200911	Vª ğ¯i cüa "Häi rµng cá b½i" là gì?	Thiên cao ği¬u lßşn	Thiên cao ßng lßşn	Thiên cao hÕc bay	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200912	Vª ğ¯i cüa "C¥n b± cho vøng" là gì?	Ki®m ğ¬ dßŞng liêm	ĞÑc ğ¬ dßŞng liên	Quen tay thành khéo	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200913	Vª ğ¯i cüa "V§t hoa thiên bäo" là gì	Nhân ki®t ğ¤t linh	ThuÖ thäo phong th¸nh	Nhân tài t« t«	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200914	Vª ğ¯i cüa "bát lôn tiªn bäo" là gì?	TÑ phß½ng lai tài	TÑ phß½ng lai b¯i	TÑ ğÕo lai tài	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200915	Vª ğ¯i cüa "ngày mµt phát tri¬n" là gì?	Ngày càng ph°n vinh	Ngày mµt vß½n lên	C¯ g¡ng h÷c t§p	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200916	Vª ğ¯i cüa "MÕc khán nhân ğoän" là gì?	B¤t th¸ kÖ trß¶ng	Yªu khán tha trß·ng	Yªu tri kÖ trß¶ng	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200917	Vª ğ¯i cüa "Chân ğµc thß nhân thiên hÕ thiªu" là gì	B¤t nhß ı sñ c± kim ğa	B¤t nhß ı sñ xuân thu ğa	B¤t nhß ı sñ th¤t bát cØu	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200918	Vª ğói cüa "Ğµc thß dî quá ngû thiên quy¬n" là gì?	ThØ m£c túc chi tam th§p niên	ThØ m£c túc chi Ñc vÕn niên	ThØ m£c nång tä sam th§p niên	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200919	Vª ğ¯i cüa "Ğµc thß b¤t tri v¸" là gì?	B¤t nhß thúc cao các	B¤t nhß mÕi h°ng thñ	B¤t nhß ğäo änh ğ¥u thuÏ	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200920	Vª ğ¯i cüa "Thß quy¬n ğa tình tñ c¯ nhân" là gì?	Th¥n hôn ßu lÕc m²i tß½ng thân	Th¥n hôn ßu lÕc häo b¢ng hæu	B¤t nhß ı sñ xuân thu ğa	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200921	Vª ğ¯i cüa "Song gian bÕch phát thôi s¥u cänh" là gì?	Chúc ğ¬ thß½ng ğ¥u khuyªn ğµc thß	Chúc ğ¬ thß½ng ğàu khuyªn phát ph¤n	Chúc ğ¬ thß½ng ğ¥u khuyªn thång quan	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200922	Vª ğ¯i cüa "H¡c phát b¤t tri c¥n h÷c täo" là gì?	BÕch thü phß½ng h¯i ğµc thß trì	BÕch thü phß½ng h¯i h÷c t¤p thiªu	BÕch thü phß½ng h¯i ğµc thß nan	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200923	Vª ğ¯i cüa "ğµc c± nhân thß" là gì?	Hæu thiên hÕ sî	H÷c thiên hÕ sî	Hành vÕn lı lµ	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200924	Vª ğ¯i cüa "Thª gian duy hæu ğµc thß häo" là gì?	Thiên hÕ vô nhß ng§t phÕn nan	Tiên hÕ nan ğ¡c ng§t phÕn hß½ng	Thiên hÕ vô nhß ng§t phÕn hß½ng	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200925	Vª ğ¯i cüa "ğông thành ğäo, tây thành ğäo, khuy kiªn thª gia chi häo" là gì?	Ti«n hÕng thâm, h§u hÕng thâm, b¤t vån xa mã chi âm	Ti«n hÕng tØ, h§u hÕng tØ, b¤t vån xa mã chi âm	Ti«n hÕng thâm, h§u hÕng thâm, b¤t vån m¸ m¸ chi âm	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200926	Vª ğ¯i cüa "Lµ hoa ğäo änh li­u tam biªn" là gì?	Quª tØ phiêu hß½ng trß½ng cØu thành	Quª tØ phiêu hß½ng trß½ng nh¤t thành	Quª tØ phiêu hß½ng quách phú thành	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200927	Vª ğ¯i cüa "Quang y ğông bích ğ° thß phü" là gì?	Tâm tÕi tây h° s½n thuÖ gian	Tâm tÕi nam häi s½n thuÖ gian	Tâm tÕi Long Tuy«n s½n thuÖ gian	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200928	Vª ğ¯i cüa "M²i vån thi®n sñ tâm tiên hï" là gì?	Ğ¡c kiªn kÏ thß thü tñ sao	Ğ¡c kiªn kÏ thß phóng yêu bao	Ğ¡c kiªn häo thß tØ tª khán	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200929	Vª ğ¯i cüa "Nhân thª nan phùng khai kh¦u tiªu" là gì?	Lão phu liêu phát thiªu niên cu°ng	Lão ğ¥u liêu phát thiªu niên cu°ng	Lão tØ liêu phát thiªu niên cu°ng	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200930	Vª ğ¯i cüa "Du giä ğß½ng tri s½n s· hß¾ng" là gì?	Tînh th¶i do hæu thuÖ nång thính	Tînh th¶i do hæu hóa nång thính	Tînh th¶i do hæu thuÖ nång khán	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200931	Vª ğ¯i cüa "Hoa tiên minh uy¬n hß½ng thiên tái" là gì?	Vân änh ba quang hoÕt nh¤t lâu	Vân änh ba quang hoÕt vÕn lâu	Vân änh ba quang hoÕt thiên lâu	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200932	Vª ğ¯i cüa "Th¤t nhã hà dî ğÕi" là gì?	Hoa hß½ng b¤t tÕi ğa	Hoa häo xuân thß¶ng tÕi	Hua hß½ng b¤t tÕi ti¬u	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200933	Vª ğ¯i cüa "Nh¤t nguyên phÑc thuÖ" là gì?	VÕn tßşng canh tân	VÕn v§t phøc h°i	VÕn sñ nhß ı	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200934	Vª ğ¯i cüa "tòng lai danh sî nång bình thuÖ"	Tñ ğinh cao tång c§n ğ¤u trà	Tñ ğinh cao tång c§n ğ¤u yên	Tñ ğinh cao tång c§n ğ¤u tØu	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200935	Vª ğ¯i cüa "Ma l® dî tu, v¤n thiên hÕ ğ¥u lô hæu kÖ" là gì?	C§p phong thi thí, khán lão phu thü ğoÕn nhß hà?	C§p phong thi thí, khán lão ğ¥u thü ğoÕn nhß hà	C§p phong nhi thí, khán lão nhân thü ğoÕn nhß hà	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200936	Vª ğ¯i cüa "Nam ph¯ løc ba, tây s½n khí säng" là gì?	Xuân phong lÕc nh§t, thu thuÖ trß¶ng thiên	Xuân phong lÕc nh§t, thu thuÖ trß¶ng ğiÕ	Xuân phong lÕc nh§t, thu thuÖ trß¶ng nhân	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200937	Vª ğ¯i cüa "trß¶ng không hæu nguy®t minh lßŞng ngÕn" là gì?	Thu thuÖ b¤t ba hành nh¤t chu	Thu thuÖ b¤t ba hành vÕn chu	Thu thuÖ b¤t ba hành thiên chu	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200938	Vª ğ¯i cüa "Nguy®n vån dî quá" là gì?	CÑu thông dân tình	CÑu ğÕt dân tình	CÑu thông dân sinh	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200939	Vª ğ¯i cüa "VÕn s½n b¤t cách trung thu nguy®t" là gì?	Thiên niên phÑc kiªn hoàng hà thanh	Thiên niên phÑc kiªn hoàng hà hoàng	Thiên niên phÑc kiªn hoàng hà thuÖ	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200940	Vª ğ¯i cüa "Thu phong c± ğÕo ğ« thi s¤u" là gì?	LÕc nh§t bình dß½ng túng mã hào	LÕc nh§t bình dß½ng túng ngßu hào	LÕc nh§t bình nguyên túng dß½ng hào	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200941	Vª ğ¯i cüa "Thanh phong minh nguy®t bän vô giá" là gì?	C§n thuÖ dao s½n giai hæu tình	Cân thuÖ dao s½n giai hæu giá	C§n thuÖ dao s½n giai vô giá	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200942	Vª ğ¯i cüa "bän ğång yªu toÕ th§p niên lãnh" là gì?	Vån chß½ng b¤t tä nh¤t cú không	 tØ b¤t toÕ bán niên nhi®t	Vån chß½ng b¤t tä nh¤t cú thoÕi	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200943	Vª ğ¯i cüa "Phong vân tam xích kiªm" là gì?	Hoa ği¬u nh¤t sàng thß	Vû tuyªt nh¤t sàng thß	Lôi ği®n nh¤t sàng thß	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200944	Vª ğ¯i cüa "ĞÑc tòng khoan xÑ tích" là gì?	Phúc hß¾ng kiªm trung c¥u	Ân hß¾ng kiªm trung c¥u	Quı hß¾ng kiªm trung c¥u	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200945	Vª ğ¯i cüa "Thanh phong hæu ı nan lßu ngã" là gì?	Minh nguy®t vô tâm tñ chiªu nhân	Minh nh§t vô tâm tñ chiªu nhân	Minh tinh vô tâm tñ chiªu nhân	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200946	Vª ğ¯i cüa "thiên khí sÕ tinh hoa mãn thø" là gì?	Nhân gia cØu trú yªn song phi	Nhân gia cØu trú hÕc song phi	Nhân gia cØu trú ğiêu song phi"	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200947	Vª ğ¯i cüa "tinh th¥n ğáo xÑ vån chß½ng tÕi" là gì?	H÷c v¤n thâm th¶i ı khí b¢ng	H÷c v¤n thâm th¶i ı phong phát	H÷c v¤n thâm tr¶i ı khí tráng	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200948	Vª ğ¯i cüa "Tr×ng giang tînh nhß luy®n" là gì?	Trß¶ng tiêu khí nhßşc lan	Trß¶ng tiêu khí nhßşc h°ng	Trß¶ng tiêu khí nhßşc løc	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200949	Vª ğ¯i cüa "Kim thÕch trß¶ng b¤t hü" là gì?	Ğang thanh bän vô song	Ğang hoàng bän vô song	Ğan lan bän vô song	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200950	Vª ğ¯i cüa "San ph°n tñu giän tam thu thø" là gì?	Lînh ı tiêu tân nh¸ nguy®t hoa	Lînh ı tiêu tân ngû nguy®t hoa	Sß½ng di®p h°ng ß nh¸ nguy®t hoa	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200951	Vª ğ¯i cüa "KÜ phø tác mã" là gì?	V÷ng tØ thành long	V÷ng tØ tác long	V÷ng tØ hoá long	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200952	Vª ğ¯i cüa "tam th¤t thiên lam ğoÕn" là gì?	Løc v¸ ğ¸a hoàng hoàn	Ğ¸a áo tâm huyªt khang	Long ğ½n tráng c¯t ph¤n	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200953	Vª ğ¯i cüa "Sß nß½ng ğång l¥u v÷ng nam b¡c" là gì?	Ğ® tØ hành lµ ng§t ğông tây	Sß phø xu¯ng núi xem ğ°	Sß phø xu¯ng núi mua ğ°	#	#	#	1	-1	-1	-1	-1	-1	Câu ğ¯i hay	3
200954	Trong "Lµc ğïnh Kí", n½i Vi Ti¬u Bäo sinh ra là · ğâu?	Thanh lâu	Mµc Vß½ng Phü	Thiên ğ¸a hµi	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200955	Trong "Lµc ğïnh Kí", Häi ĞÕi Phú Häi công công sai Vi Ti¬u Bäo lên thßşng thß phòng tìm mµt quy¬n sách. Sách này tên gì?	TÑ th§p nh¸ chß½ng kinh	Nh¸ Th§pTÑ chß½ng kinh	TÑ Th§p Nh¸ chß½ng kinh	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200956	Trong "Lµc ğïnh Kí", thân ph§n thñc cüa kë mÕo danh Hoàng thái h§u là giáo ğ° cüa Th¥n long giáo, phong l®nh ğµt nh§p vào hoàng cung ğ¬ tìm 42 chß½ng kinh, tên là gì?	Mao Ğông Châu	Thánh næ	Long nhi	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200957	Trong "Lµc ğïnh Kí", ğßşc phong Bình Tây Vß½ng là ai?	Ngô Tam Quª	Ngô Løc KÏ	Ngô ºng Hùng	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200958	Trong "Lµc ğïnh Kí", träi qua tråm tr§n, còn g÷i Mãn Châu Ğ® nh¤t dûng sî, ğ°ng th¶i là mµt trong tÑ ğÕi phø th¥n là ğÕi tß¾ng quân nào?	Ngao Bái	Ách T¤t Long	Tô Kh¡c Tát Ha	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200959	Trong "Lµc ğïnh Kí", giáo chúng Th¥n long giáo thß¶ng xuyên hô kh¦u hi®u gì nh¤t v¾i giáo chü?	Tiên phúc vînh hß·ng, th÷ dæ thiên t«	Thiên thu vÕn ğÕi, nh¤t th¯ng thiên hÕ	Ğông phß½ng b¤t bÕi, duy ngã ğµc tôn	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200960	Trong "Lµc ğïnh Kí", Thu§n Tr¸ vì thß½ng tiªc ái phi chªt, ğã lên Ngû Ğài S½n xu¤t gia ği tu, ông tu · chúa nào?	Thanh Lß½ng Tñ	BÕch Vân Tñ	Hi¬n Thông Tñ	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200961	Trong "Lµc ğïnh Kí", mµt trong nhæng ân sß cüa Vi Ti¬u Bäo, t×ng dùng nµi lñc ğ¬ giúp Ti¬u Bäo ğ¦y ğµc do Häi công công làm hÕi ra ngoài c½ th¬, ğ°ng th¶i cûng là t±ng ğà chü Thiên Ğ¸a Hµi, ngß¶i này là ai?	Tr¥n C§n Nam	Tr¥n Hào Nam	Tr¥n Di®u Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200962	Trong "Lµc ğïnh Kí", mµt trong nhæng ngß¶i vş cüa Vi Ti¬u Bäo Tô Toàn là phu nhân giáo chü giáo phái nào?	Th¥n long giáo	Th¥n nông giáo	Minh Giáo	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200963	Trong "Lµc ğïnh Kí", dß¾i ğay nhæng ai không phäi là vş cüa Ti¬u Bäo?	Tr¥n Viên Viên	Mµc Kiªm Bình	Song Nhi	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200964	Trong "Lµc ğïnh Kí", cái nào không phäi là chÑc danh cüa Vi Ti¬u Bäo?	Thü lînh th¸ v® c¥m ğao hµ giáo ngñ ti«n	Hß½ng chü Thanh Mµc Ğß¶ng Thiên Ğ¸a Hµi	Th¥n Long Giáo BÕch Long SÑ	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200965	Trong "Lµc Ğïnh Kí", ngß¶i mà Vi Ti¬u Bäo g÷i các hÕ xßng em Ti¬u Huy«n TØ thân ph§n th§t là gì?	Khang Hi hoàng ğª	Thu§n Tr¸ hoàng ğª	Càn Long hoàng ğª	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200966	Trong "Anh hùng xÕ ğiêu", "ğông tà tây ğµc nam ğª b¡c cái trung th¥n thông", v§y B¡c cái là ai?	H°ng Th¤t Công	Hoàng Dßşc Sß	Âu Dß½ng Phong	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200967	Trong "Anh hùng xÕ ğiêu", "ğông tà tây ğµc nam ğª b¡c cái trung th¥n thông", v§y Ğông tà · ğây là ai?	Hoàng Dßşc Sß	Vß½ng Trùng Dß½ng	H°ng Th¤t Công	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200968	Trong "Anh hùng xÕ ğiêu", "ğông tà tây ğµc nam ğª b¡c cái trung th¥n thông", v§y Nam ğª · ğây là ai?	Nh¤t Ğång ĞÕi Sß	H°ng Th¤t Công	Âu Dß½ng Phong	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200969	Trong "Anh hùng xÕ ğiêu", "ğông tà tây ğµc nam ğª b¡c cái trung th¥n thông", v§y tây ğµc · ğây chï là ai?	Âu Dß½ng Phong	Vß½ng Trùng Dß½ng	Hoàng Dßşc Sß	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200970	Trong "Anh hùng xÕ ğiêu", "ğông tà tây ğµc nam ğª b¡c cái trung th¥n thông", v§y trung th¥n thông · ğây chï là ai?	Vß½ng Trùng Dß½ng	Chu Bá Thông	H°ng Th¤t Công	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200971	Trong "Anh hùng xÕ ğiêu", H¡c phong song sát ğã l¤y c¡p bí kíp nào ch² Hoàng Dßşc Sß?	CØu Âm Chân Kinh	CØu Dß½ng Chân Kinh	QuÏ Hoa Bäo Ği¬n	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200972	Trong "Anh hùng xÕ ğiêu", "tây ğµc" Âu Dß½ng Phong có quan h® gì v¾i Âu Dß½ng Kh¡c	Phø thân	Thúc Thúc	Huynh trß·ng	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200973	Trong "Thiên Long Bát Bµ" næ hi®p nào dß¾i ğây không phäi là con cüa Ğoàn Chính Thu¥n?	A Bích 	Mµc Uy¬n Thanh 	Chung Linh 	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200974	Trong "Thiên Long Bát Bµ", Ğoàn Dñ b¸ Thi¬m Ği®n Ğiêu c¡n, ngã v§t ra ğ¤t, không th¬ ğµng ğ§y. Lúc này loÕi thú ğµc nào không bò vào mi®ng Ğoàn Dñ?	Thanh Xà k¸ch ğµc	Mãng C± Chu Cáp	ĞÕi Ngô Công	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200975	Trong "Thiên Long Bát Bµ", khi Ğoàn Dñ giä trang Mµ Dung Phøc giäi cÑu Cái Bang, nhìn th¤y trên Tß¶ng Vyªt gì?	Mßu ğ¸ch ğánh ğ¸ch	Ác có ác báo, thi®n có thi®n báo	Trä lÕi giang san	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
200976	Trong "Thiên Long Bát Bµ", Ğoàn Dñ h÷c xong Løc mÕch th¥n kiªm cûng là lúc Thiên Long Tñ ğang có ğÕi ğ¸ch kéo ğªn. Kë ğ¸ch này là ai?	Cßu Ma Trí	Ğinh Xuân Thu 	TÑ ĞÕi Ác Nhân	#	#	#	1	-1	-1	-1	-1	-1	Kim h÷c giang h°	4
